customer_id,total_spend,num_purchases,avg_purchase_value,segment
CUST0004,354348.04000000004,107,3311.6639252336454,High Value
CUST0015,337548.5,100,3375.485,High Value
CUST0097,311487.74999999994,112,2781.1406249999995,High Value
CUST0052,329283.29,101,3260.2305940594056,High Value
CUST0057,375200.79000000004,103,3642.726116504855,High Value
CUST0064,288226.51,99,2911.378888888889,High Value
CUST0010,299436.25,85,3522.779411764706,High Value
CUST0044,319104.66,105,3039.0919999999996,High Value
CUST0093,308503.65,98,3147.9964285714286,High Value
CUST0080,250520.33000000002,83,3018.317228915663,High Value
CUST0077,341649.81999999995,108,3163.4242592592586,High Value
CUST0087,296201.85000000003,103,2875.746116504855,High Value
CUST0007,317266.22000000003,99,3204.709292929293,High Value
CUST0042,313215.47000000003,99,3163.7926262626265,High Value
CUST0017,357237.06999999995,116,3079.629913793103,High Value
CUST0038,357877.41,107,3344.648691588785,High Value
CUST0019,305964.6,84,3642.435714285714,High Value
CUST0095,286931.42,104,2758.9559615384615,High Value
CUST0055,348911.04999999993,108,3230.65787037037,High Value
CUST0035,249637.12,82,3044.3551219512196,High Value
CUST0083,344661.51999999996,104,3314.0530769230763,High Value
CUST0036,343668.22,112,3068.46625,High Value
CUST0026,334796.3300000001,101,3314.8151485148524,High Value
CUST0069,265980.1,101,2633.466336633663,High Value
CUST0025,293773.38,89,3300.8244943820227,High Value
CUST0048,381515.47,110,3468.322454545454,High Value
CUST0089,272866.43,77,3543.71987012987,High Value
CUST0022,313108.99,103,3039.8931067961166,High Value
CUST0056,336726.66,106,3176.6666037735845,High Value
CUST0075,301493.17,110,2740.8469999999998,High Value
CUST0091,304667.09,112,2720.241875,High Value
CUST0078,327116.0,95,3443.3263157894735,High Value
CUST0045,260505.45999999996,80,3256.3182499999994,High Value
CUST0012,247871.99000000002,89,2785.078539325843,High Value
CUST0023,282456.73000000004,94,3004.8588297872343,High Value
CUST0021,289228.66000000003,100,2892.2866000000004,High Value
CUST0043,284716.42,100,2847.1641999999997,High Value
CUST0034,246721.02000000002,89,2772.1462921348316,High Value
CUST0084,281182.11000000004,87,3231.9782758620695,High Value
CUST0051,266029.75,101,2633.957920792079,High Value
CUST0009,336028.52999999997,112,3000.254732142857,High Value
CUST0027,280683.39999999997,95,2954.5621052631577,High Value
CUST0073,269715.09,87,3100.1734482758625,High Value
CUST0100,305367.05,112,2726.4915178571428,High Value
CUST0081,270886.33,92,2944.4166304347827,High Value
CUST0002,311253.02,107,2908.906728971963,High Value
CUST0005,334500.66,109,3068.8133944954125,High Value
CUST0039,355208.75999999995,112,3171.5067857142853,High Value
CUST0060,376006.20999999996,111,3387.443333333333,High Value
CUST0059,246907.75999999998,92,2683.7799999999997,High Value
CUST0085,456074.2199999999,135,3378.327555555555,High Value
CUST0079,311808.07999999996,101,3087.208712871287,High Value
CUST0092,272201.22000000003,91,2991.222197802198,High Value
CUST0024,324414.51,110,2949.222818181818,High Value
CUST0053,299431.67999999993,103,2907.1036893203877,High Value
CUST0006,324770.99,95,3418.642,High Value
CUST0082,311242.46,99,3143.8632323232328,High Value
CUST0066,322460.87,110,2931.4624545454544,High Value
CUST0018,289456.61,96,3015.1730208333333,High Value
CUST0088,351806.6000000001,113,3113.332743362833,High Value
CUST0096,309861.45000000007,98,3161.851530612246,High Value
CUST0074,325508.32,96,3390.7116666666666,High Value
CUST0050,289336.56,103,2809.0928155339807,High Value
CUST0098,343307.94,117,2934.2558974358976,High Value
CUST0072,288861.17,97,2977.950206185567,High Value
CUST0008,257536.34000000003,86,2994.608604651163,High Value
CUST0030,286773.58,90,3186.3731111111115,High Value
CUST0014,266425.95000000007,85,3134.4229411764713,High Value
CUST0001,334086.16000000003,111,3009.7852252252255,High Value
CUST0013,255196.55999999997,96,2658.2974999999997,High Value
CUST0086,265277.19999999995,96,2763.3041666666663,High Value
CUST0090,307314.11000000004,98,3135.858265306123,High Value
CUST0037,267042.91000000003,92,2902.640326086957,High Value
CUST0061,323525.99,117,2765.1794017094016,High Value
CUST0047,257115.38,78,3296.351025641026,High Value
CUST0065,266251.44999999995,92,2894.0374999999995,High Value
CUST0016,260895.54,95,2746.268842105263,High Value
CUST0062,371202.24000000005,115,3227.8455652173916,High Value
CUST0003,244398.50999999998,84,2909.506071428571,High Value
CUST0068,283720.00999999995,81,3502.7161728395054,High Value
CUST0049,328867.62999999995,106,3102.524811320754,High Value
CUST0054,306165.04,96,3189.2191666666663,High Value
CUST0020,424888.82,127,3345.5812598425196,High Value
CUST0046,366660.99,108,3395.0091666666667,High Value
CUST0029,298677.56000000006,96,3111.224583333334,High Value
CUST0070,290314.75000000006,96,3024.1119791666674,High Value
CUST0040,302460.92999999993,103,2936.513883495145,High Value
CUST0067,323525.20999999996,103,3141.0214563106792,High Value
CUST0058,265379.83,96,2764.373229166667,High Value
CUST0011,312614.3399999999,107,2921.6293457943916,High Value
CUST0041,325409.80000000005,99,3286.9676767676774,High Value
CUST0099,305391.07000000007,95,3214.6428421052638,High Value
CUST0076,248137.95,88,2819.749431818182,High Value
CUST0094,300425.17000000004,97,3097.1667010309284,High Value
CUST0028,320391.3400000001,104,3080.6859615384624,High Value
CUST0071,341642.66,105,3253.739619047619,High Value
CUST0063,252116.21000000002,87,2897.887471264368,High Value
CUST0032,313023.99000000005,98,3194.122346938776,High Value
CUST0033,336353.95,105,3203.3709523809525,High Value
CUST0031,335610.38000000006,112,2996.5212500000007,High Value
